date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:41	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Feb%202026%2015:54:40%20GMT	https://ribegatan.se/robots.txt		(from )
16:54:41	99673/99673	---M-Z	200	added ('OK')	text/html	etag:%2218559-62b5cad42376b-gzip%22	https://ribegatan.se/	D:/APPS%20By%20RobinAyzit/Ribegatan/Ribegatan%20NYASTE%202026-02-12/Ribegatan/ribegatan.se/index.html	(from )
16:54:41	1883/1883	---M-Z	200	added ('OK')	text/css	etag:%2275b-5edcf8f7cfa77-gzip%22	https://ribegatan.se/css/swglobal.css	D:/APPS%20By%20RobinAyzit/Ribegatan/Ribegatan%20NYASTE%202026-02-12/Ribegatan/ribegatan.se/css/swglobal.css	(from https://ribegatan.se/)
16:54:41	0/0	---M--	200	added ('OK')	text/css	etag:%220-5edcf8f79f903%22	https://ribegatan.se/css/swStandard.css	D:/APPS%20By%20RobinAyzit/Ribegatan/Ribegatan%20NYASTE%202026-02-12/Ribegatan/ribegatan.se/css/swStandard.css	(from https://ribegatan.se/)
16:54:41	10307/10307	---M-Z	200	added ('OK')	text/html	etag:%222843-62b5cad075512-gzip%22	https://ribegatan.se/Soekresultat.html?r=	D:/APPS%20By%20RobinAyzit/Ribegatan/Ribegatan%20NYASTE%202026-02-12/Ribegatan/ribegatan.se/Soekresultat2a3b.html	(from https://ribegatan.se/)
16:54:41	829/829	---M--	200	added ('OK')	image/gif	etag:%2233d-5edcf9a3e84e4%22	https://ribegatan.se/res/Standard/bakgrund-3.gif	D:/APPS%20By%20RobinAyzit/Ribegatan/Ribegatan%20NYASTE%202026-02-12/Ribegatan/ribegatan.se/res/Standard/bakgrund-3.gif	(from https://ribegatan.se/)
16:54:42	322/322	---M--	200	added ('OK')	image/png	etag:%22142-5edcf9a413085%22	https://ribegatan.se/res/Standard/filler1.png	D:/APPS%20By%20RobinAyzit/Ribegatan/Ribegatan%20NYASTE%202026-02-12/Ribegatan/ribegatan.se/res/Standard/filler1.png	(from https://ribegatan.se/)
16:54:42	22465/22465	---M-Z	200	added ('OK')	text/html	etag:%2257c1-62b5cad35182f-gzip%22	https://ribegatan.se/Vaelkommen.html	D:/APPS%20By%20RobinAyzit/Ribegatan/Ribegatan%20NYASTE%202026-02-12/Ribegatan/ribegatan.se/Vaelkommen.html	(from https://ribegatan.se/)
16:54:42	99673/99673	---M-Z	200	added ('OK')	text/html	etag:%2218559-62b5cad42376b-gzip%22	https://ribegatan.se/index.html	D:/APPS%20By%20RobinAyzit/Ribegatan/Ribegatan%20NYASTE%202026-02-12/Ribegatan/ribegatan.se/index-2.html	(from https://ribegatan.se/)
16:54:42	133681/133681	---M--	200	added ('OK')	image/png	etag:%2220a31-5edcf9a4ed491%22	https://ribegatan.se/res/Standard/ribehead.png	D:/APPS%20By%20RobinAyzit/Ribegatan/Ribegatan%20NYASTE%202026-02-12/Ribegatan/ribegatan.se/res/Standard/ribehead.png	(from https://ribegatan.se/)
